id_A,id_B,certificate_score,evidence_count,witness_path,region_size
33582,208504045,10.308893,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1
33600,208504045,10.308893,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1
33582,207876534,10.294902,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1
33600,207876534,10.294902,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1
33985,207876534,10.290974,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1
37907,210227285,8.826017,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1
33581,207388754,8.823944,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1
33595,207388754,8.823944,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1
33569,207506251,8.796129,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1
33591,207506251,8.796129,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1
33581,207506251,8.796071,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1
33595,207506251,8.796071,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1
33569,207388758,8.676801,5,strong_rescue::anchor_bigram|block_id|long_pair|model_code|token_skeleton,1
33591,207388758,8.676801,5,strong_rescue::anchor_bigram|block_id|long_pair|model_code|token_skeleton,1
35388,207876534,8.667354,5,strong_rescue::anchor_bigram|block_id|long_pair|model_code|token_skeleton,1
36556,207876534,8.660215,5,strong_rescue::anchor_bigram|block_id|long_pair|model_code|token_skeleton,1
34303,207660498,8.266629,5,strong_rescue::block_id|long_pair|model_code|rare_token|token_skeleton,1
36556,207653548,8.252095,4,strong_rescue::block_id|digit_signature|model_code|token_skeleton,1
33985,207388752,8.249657,6,strong_rescue::anchor_bigram|block_id|digit_signature|field_presence|long_pair|token_skeleton,1
21875,10315184,8.098047,5,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|token_skeleton,1
