cluster_id,entity_id,source
0,10101,abt
0,90106210,buy
0,10102,abt
0,90106172,buy
1,10640,abt
1,203024425,buy
2,11338,abt
2,90140166,buy
3,11801,abt
3,206722262,buy
3,28951,abt
3,210239335,buy
3,37796,abt
4,13155,abt
4,90109367,buy
5,13202,abt
5,10379358,buy
6,13213,abt
6,203025617,buy
7,13580,abt
7,90125772,buy
8,13581,abt
8,90125786,buy
9,13700,abt
9,90111702,buy
10,13701,abt
10,90108521,buy
11,13945,abt
11,207544306,buy
12,13954,abt
12,202537962,buy
12,26346,abt
12,207538225,buy
12,34151,abt
12,28205,abt
12,204419878,buy
12,202537967,buy
12,206854516,buy
12,33784,abt
12,206854515,buy
12,33786,abt
12,202900030,buy
12,29806,abt
12,202755491,buy
12,202900227,buy
12,24493,abt
12,7783,abt
12,8060,abt
12,90128649,buy
12,90104307,buy
12,90138537,buy
12,30590,abt
12,90105056,buy
13,13996,abt
13,203025174,buy
14,14033,abt
14,90105156,buy
15,14061,abt
15,203025423,buy
16,14070,abt
16,203162678,buy
17,14563,abt
17,205106045,buy
17,29612,abt
17,202870448,buy
18,14715,abt
18,203021705,buy
19,15046,abt
19,209297200,buy
20,15452,abt
20,90136420,buy
21,16000,abt
21,208226458,buy
21,16003,abt
22,16112,abt
22,202900041,buy
22,204559210,buy
22,29950,abt
22,204559209,buy
22,28978,abt
22,204559208,buy
22,32027,abt
22,28982,abt
22,28980,abt
22,29574,abt
22,204559211,buy
23,16309,abt
23,203022472,buy
24,16394,abt
24,203111424,buy
25,16668,abt
25,90148258,buy
25,16669,abt
25,90140203,buy
26,16741,abt
26,201959840,buy
26,17094,abt
27,16758,abt
27,90137168,buy
28,16765,abt
28,204569335,buy
29,16774,abt
29,90139860,buy
30,16877,abt
30,202434158,buy
31,17187,abt
31,202041204,buy
32,17191,abt
32,202041195,buy
33,17372,abt
33,10363243,buy
34,17417,abt
34,90145560,buy
34,25749,abt
34,19676,abt
34,37716,abt
34,207899810,buy
34,25829,abt
34,25388,abt
34,90145568,buy
34,202827684,buy
34,202827713,buy
34,33026,abt
34,25550,abt
34,202827715,buy
35,17479,abt
35,90145972,buy
35,18524,abt
35,90145909,buy
36,17596,abt
36,90145561,buy
36,17872,abt
36,90131941,buy
36,22382,abt
36,90139261,buy
36,38784,abt
36,204222897,buy
36,90120953,buy
36,31414,abt
36,90145584,buy
36,17873,abt
37,17906,abt
37,204274644,buy
37,21989,abt
37,204274645,buy
38,18040,abt
38,203151779,buy
39,18087,abt
39,203150909,buy
40,18441,abt
40,209002546,buy
41,18567,abt
41,210521578,buy
42,18837,abt
42,203155653,buy
43,18960,abt
43,202067544,buy
44,19112,abt
44,90148541,buy
44,27778,abt
44,205844282,buy
44,27779,abt
44,205844283,buy
45,19132,abt
45,202778315,buy
46,19141,abt
46,90145586,buy
47,19358,abt
47,90144996,buy
48,19604,abt
48,203025446,buy
49,19628,abt
49,202778257,buy
50,19672,abt
50,203088013,buy
51,20447,abt
51,90128026,buy
52,20448,abt
52,10373002,buy
52,21047,abt
53,20453,abt
53,201692665,buy
53,20461,abt
53,209122924,buy
53,37650,abt
53,20454,abt
54,20458,abt
54,201953021,buy
54,201692677,buy
55,20459,abt
55,201692648,buy
55,201953025,buy
56,20466,abt
56,203185276,buy
56,201692695,buy
56,33047,abt
56,209122918,buy
56,201953039,buy
56,22101,abt
56,201953026,buy
56,22100,abt
56,201692660,buy
56,201953029,buy
56,37646,abt
56,34791,abt
56,204736197,buy
57,20532,abt
57,90105654,buy
58,20534,abt
58,203022202,buy
59,21175,abt
59,10412788,buy
59,33053,abt
59,10221960,buy
59,21875,abt
59,10315184,buy
59,25262,abt
59,37606,abt
59,10353206,buy
60,21182,abt
60,202486964,buy
61,21267,abt
61,203087865,buy
61,32878,abt
61,205986339,buy
61,32880,abt
61,205106048,buy
61,206928359,buy
61,35552,abt
61,203870569,buy
61,26059,abt
61,202870174,buy
61,26891,abt
61,204219387,buy
61,25855,abt
62,21297,abt
62,202143947,buy
62,29338,abt
62,202070149,buy
62,38278,abt
62,206725964,buy
63,21554,abt
63,206460121,buy
64,22187,abt
