cluster_id,name,description,price,manufacturer
0,OmniMount Universal Wall Speaker Mounting Kit - 20.0 WALL-B,Omnimount Wall Speaker Mount - 20WLWH/ Stainless Steel Shafts And All Necessary Hardware Included/ Supports Speakers Up To 20 lbs./ Sold as each / White Finish (Photo Showing Black),$39.95,"OMNIMOUNT SYSTEMS, INC"
1,Denon Semi-Automatic Turntable - Black Finish - DP29F,Denon Semi-Automatic Turntable - DP29F/ Metal Platter/ Built-In RIAA Equalizer/ DC Servo Motor/ 2 Speed 33 + 45 RPM/ Built-In Phono PreAmp,$150.00,Denon
2,Sony Xplod 10-Disc Add-On CD/MP3 Changer - CDX565MXRF,Sony Xplod 10-Disc Add-On CD/MP3 Changer - CDX565MXRF/ CD/CD-R/CD-RW And MP3 Playback/ MP3 Decoding/ D-Bass/ 12-Second Advanced Electronic Shock Protection/ FM Modulator/ 9 Modulation Frequencies/ Wireless Remote,$134.12,Sony
3,Escort X50 Passport 8500 Radar Detector - High Intensity Red Display - 8500X50RED,Escort Passport 9500IX Radar Detector - 9500IX/ Pre-Loaded With Thousands Of Saftey Camera Locations/ 360 Degree Radar & Laser Protection/ Completely Undetectable To All Detector Scanners/ Variable-Speed Radar Performance/ GPS-Powered Truelock Filter/ AutoLearn Feature/ Speed Alert/ Crystal-Clear Voice Alerts/ 80 LED Matrix Blue Display/ 5 Levels Of Brightness Control/ Black Finish,$313.95,Escort
4,Peerless Wall TV Mounts In Black - PM1327BK,Peerless Wall TV Mounts - PM1327BK/ TV Wall Mount With Adjustable Width Support Tray For 13'-27' Set/ Black Finish,,Peerless
5,Panasonic Black Toner Cartridge - KX-FA83,"Panasonic Toner Cartridge for the KX-FL511, KX-FL541, KX-FL611 and KX-FLM651 Series",,Panasonic
6,Sony Compact Disc Player/Recorder - RCDW500C,"Sony Compact Disc Player/Recorder - RCDW500C/ 5-CD/Dual Deck With 4x High Speed Dubbing/ CD, CD-R, CD-RW, MP3 Playback Capable/ Super Bit Mapping Recording/ High Speed Finalizing",$299.00,Sony
7,Sanus WMS3B Black Weather Resistant Small Speaker Wall Mount - WMS3B,Sanus WMS3B Black Small Speaker Wall Mount - WMS3B/ Holds Up To An 8 Pound Speaker/ Multiple Pivot Points/ Weather Resistant For Indoor/Outdoor Use/ Black Finish/ Priced Per Pair,$29.99,Sanus
8,Sanus WMS3S Silver Weather Resistant Small Speaker Wall Mount - WMS3S,Sanus WMS3S Silver Small Speaker Wall Mount - WMS3S/ Holds Up To An 8 Pound Speaker/ Multiple Pivot Points/ Weather Resistant For Indoor/Outdoor Use/ Silver Finish/ Priced Per Pair,$29.99,Sanus
9,Sanus Euro Foundation Series III Speaker Stand - EFSATBKIII,Sanus Euro Foundations Satellite Speaker Stand - EFSATB/ Sturdy Base/ Adjustable Pillar And Floor Spikes/ Includes Three Different Speaker Mounting Methods/ Contemporary European Design/ Satin Powder-Coated Black Finish/ Priced Per Pair,$79.99,Sanus
10,Sanus Euro Foundation Series III Speaker Stand - EFSATSIII,Sanus Euro Foundations Satellite Speaker Stand - EFSATS/ Sturdy Base/ Adjustable Pillar And Floor Spikes/ Includes Three Different Speaker Mounting Methods/ Contemporary European Design/ Satin Powder-Coated Silver Finish/ Priced Per Pair,$79.99,Sanus
11,"ONKYO 6-DISC CD CHANGER W/VLSC, BLACK NIC - DX-C390",Onkyo 6 Disc CD Player Changer- DXC390B/ Multi Single-Bit DAC/ 6 Repeat Modes/ 40 Random Track Memory/ Direct Track Access/ 96 dB S/N Ratio/ 5 Hz-20 kHz Frequency Response/ Remote Control Included/ Black Finish,$179.72,Unknown
12,Panasonic KX-TG6702B 5.8 GHz FHSS GigaRange Expandable Black Cordless Phone System - KXTG6702B,Panasonic 5.8 GHz Black Expandable Digital Cordless Phone System - KXTG4323B/ Include 3 Handsets/ Expandable Up To 4 Handsets/ Digital Answering Machine System/ Ringer ID/ Call Waiting Caller ID/ Voicemail/ Hold/ Mute/ Clock/ Alarm/ LED Lighting/ Speakerphone/ Intercom/ 11 Days Standby/ 5 Hours Talk Time/ Black Finish,$197.00,Panasonic
13,Cordless Solo S2 Radar/Laser Detector - 010ES20A,Escort Cordless Solo Radar Detector - S2E/ S2/ 10 Programmable Features/ High-Efficiency Power Management/ Ultra-Performance Laser Protection/ AutoSensitivity Mode/ High Resolution Graphic LCD Display/ Built-In Earphone Jack,$343.95,Escort
14,Garmin Deluxe Carrying Case - Black Finish - 0101023101,"Garmin Deluxe Carrying Case - 0101023101/ Designed For Street Pilot III 2610/2650 GPS Systems/ Holds Your GPS System, Mounting Bracket, Cables, Batteries And Data Cards",$17.45,Garmin
15,Kenwood KDC-C669 Car CD Changer - KDCC669,"Kenwood 6-Disc CD Changer - KDCC669/ 3-Angle Mounting/ CD, CD-R And CD-RW Playback/ Anti-Vibration Disc Transport/ Compatible With All Kenwood Units With Changer Control",$129.00,Kenwood
16,Cuisinart Brew & Serve Stainless Therm Black 10-Cup Coffee Maker,Cuisinart Automatic Brew And Serve Coffeemaker - DTC975BK/ 12-Cup Double-Wall Insulated Stainless Steel Carafe/ Fully Automatic With 24-Hour Programmability/ Patented Brew-Through And Pour-Through Lid/ Brew Pause Feature/ Automatic Shutoff/ Black And Stainless Steel Finish,$99.95,Cuisinart
