id_A,id_B,certificate_score,evidence_count,witness_path,region_size
b000qxdj0y,http://www.google.com/base/feeds/snippets/18010943695830266377,10.927446,6,strong_rescue::block_id|categorical_model|categorical_value|digit_signature|model_code|token_skeleton,1
b000qxdj0y,http://www.google.com/base/feeds/snippets/16433681558697255842,10.468389,6,strong_rescue::block_id|categorical_model|categorical_value|digit_signature|model_code|rare_token,1
b00020633g,http://www.google.com/base/feeds/snippets/18405058220481329541,9.7,5,strong_rescue::block_id|categorical_model|categorical_value|digit_signature|model_code,1
b0007iqg2q,http://www.google.com/base/feeds/snippets/18405058220481329541,9.7,5,strong_rescue::block_id|categorical_model|categorical_value|digit_signature|model_code,1
b000b676fa,http://www.google.com/base/feeds/snippets/15577341303347278445,9.7,5,strong_rescue::block_id|categorical_model|categorical_value|digit_signature|model_code,1
b000hcxklc,http://www.google.com/base/feeds/snippets/15988714852413665745,8.99459,5,strong_rescue::block_id|digit_signature|model_code|prefix_pair|token_skeleton,1
b000bgtvda,http://www.google.com/base/feeds/snippets/10066664236286478958,8.728028,7,strong_rescue::block_id|categorical_value|digit_signature|field_presence|long_pair|rare_token|token_skeleton,1
b0007iqg2q,http://www.google.com/base/feeds/snippets/18395637668335924867,8.356864,4,strong_rescue::block_id|categorical_model|categorical_value|model_code,1
b000cik6rc,http://www.google.com/base/feeds/snippets/13775362651326388438,8.35,4,strong_rescue::block_id|categorical_model|categorical_value|model_code,1
b000cik6rc,http://www.google.com/base/feeds/snippets/13796906802854864998,8.35,4,strong_rescue::block_id|categorical_model|categorical_value|model_code,1
b000egidpe,http://www.google.com/base/feeds/snippets/15577341303347278445,8.35,4,strong_rescue::block_id|categorical_model|categorical_value|model_code,1
b0009yx9be,http://www.google.com/base/feeds/snippets/18445827127704822533,8.307196,5,strong_rescue::block_id|digit_signature|field_presence|model_code|token_skeleton,1
b000ivfciq,http://www.google.com/base/feeds/snippets/18445827127704822533,8.303672,5,strong_rescue::block_id|digit_signature|field_presence|model_code|token_skeleton,1
b000bcgfe2,http://www.google.com/base/feeds/snippets/3306668805908280679,8.271084,6,strong_rescue::anchor_bigram|block_id|categorical_value|digit_signature|field_presence|token_skeleton,1
