cluster_id,title,description,manufacturer,price,name
0,instant immersion american sign language win/mac,as the third most commonly used language in the united states american sign language is the fastest growing form of communication. instant immersion american sign language is the quick and easy way many beginners learn how to sign. based on the ...,topics entertainment,9.99,american sign language
1,art explosion 600 000 images,art explosion is the brand that computer users everywhre keep coming back to again and again. and for good reason. art explosion products are well-known for unparalleled variety and the highest possible quality. and they offer the kind of truly ...,nova development,79.99,nova development corp art explosion 600000 images
2,south park chef's luv shack,chef takes on the role of game show host in a wild multiplayer match featuring all your favorite south park characters! compete with your friends in dozens of minigames that test your south park gaming skills! it's no mystery why they call south park: chef's luv shack the greatest party game ever! is there anything this game doesn't do? in addition to being a really fun and surprisingly challenging trivia contest this game features well over a dozen minigames that draw upon some of the greatest gaming genres ever created.,acclaim,39.95,south park chef's luv shack
3,microsoft entertainment pack ce,- marketing information: the microsoft entertainment pack for windows ce includes ten games that you can play against your computer or against an opponent with another handheld pc. the games include: blackjack chess codebreaker freecell hearts minesweeper reversi sink the ships space defense and taipei. product information - software sub type: puzzle game - software name: entertainment pack v.2.0 - complete product - features and benefits: - the ten games in the microsoft entertainment pack for windows ce run on handheld pcs - language support: english - platform support: handheld license information - license type: complete product - license pricing: standard - license quantity: 1 user,microsoft,49.5,711-00011 microsoft entertainment pack - ( v. 2.0 ) - complete package - 1 user - pc - cd
4,punch super home suite 3.0,super home suite combines seven programs for interior and exterior home and landscape design in one package. super home suite includes 3d home design 3d landscaping estimating autoframing floorplan trace 3d furniture design and realmodel. use 3d home exterior & interior design to view your home in thousands of subtle paint color choices or design walk-out basements and split-level designs with the slope tool. when you're ready to landscape your home design just add your plantings to your existing file. the software lets you landscape without redrawing your house plan. your results are rendered in high-resolution 3-d complete with shadows just like a photograph.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. and create objects from scratch or modify furniture from the included library. change colors fabrics patterns textures and more then use your creations to furnish your home plan. and get an idea of what your finished home will look like with the autoframing and realmodel software.,punch! software,49.99,punch software punch! super home suite
5,punch 5 in 1 home design,5 in 1 home design is a fully integrated 3-d home design product that includes ultimate deck realmodel 3d home landscaping and furniture design software. punch's 3-d photorealistic technology allows users to fly through their entire design while enjoying great views from any angle.use the 3d home exterior & interior design program to view your home in thousands of subtle paint color choices or design walk-out basements and split-level designs with the slope tool. when you're ready to landscape your home design just add your plantings to your existing file. the software lets you landscape without redrawing your house plan. your results are rendered in high-resolution 3-d complete with shadows just like a photograph.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. also create objects from scratch or modify furniture from the included library. change colors fabrics patterns textures and more then use your creations to furnish your home plan.,punch! software,39.99,punch software 20100 punch! 5 in 1 home design
6,crystal 3d impact! pro 1.25 (jewel case),once you try crystal 3d impact! pro you'll agree that this is the world's easiest-to-use 3-d animation program. within minutes you can enhance your web pages presentations and videos with extraordinary 3-d titles logos objects and buttons. create titles and logos that sizzle and spin in 3-d! you can even add drop shadows sparkles and reflection effects.,crystalgraphics,79.0,crystal-graphics crystal 3d impact! pro animation software
7,millie's math house ages 3-7 (win/mac),now featuring addition subtraction and counting to 30 the award-winning millie's math house has been enhanced to offer even more learning. in seven activities children explore numbers shapes sizes patterns addition and subtraction as they build mouse houses create wacky bugs count animated critters make jellybean cookies and answer math challenges posed by dorothy the duck. use the spanish language version for esl bilingual and spanish language instruction.,ibm (aap misc parts),9.9,millies math house
8,treasure mountain! (jewel case) ages 5-9 for win/mac,the master of mischief has stolen the magic crown and is using its power to gather all of the mountain's magic gold. to win back the crown children must find treasures hidden along the trail and lock them away in the mountaintop castle. they'll need to avoid mischievous elves and answer their reading thinking math and science questions. more than 450 spoken problem-solving questions and automatic leveling make playing easier for prereaders and beginning readers. (ages 5-9),riverdeep,9.99,treasure mountain
9,sonicwall internet upgrade (50-node),sonicwall,sonicwall,561.65,sonicwall 01-ssc-2574
10,services for netware 5.0,microsoft services for netware a bundle of add-on utilities for windows nt server 4.0 is designed to allow users of the novell netware network operating system to enhance their networks with windows nt server. services for netware comprised of file and print services for netware (fpnw) and directory service manager for netware (dsmn) is part of an overall microsoft strategy to ease integration and interoperability of the windows nt server and novell netware operating systems. for this release fpnw and dsmn are offered as a bundled solution called services for netware.benefits include support for the windows 95 graphical user interface (also available with windows nt server 4.0) and support for the windows nt administration tools for windows 95. these tools allow you to administer fpnw/dsmn servers from windows 95 clients. it also offers improvements in performance over windows nt 3.51 running file and print services for netware. the web administration tool for windows nt server supports fpnw and allows an fpnw server to be administered through a web browser.,microsoft,149.0,microsoft windows services for netware - ( v. 5.0 ) - complete package
11,punch! ultimate deck and landscape,ultimate deck & landscape integrates landscaping deck design and exterior home design. estimator and deck wizards aid in creating your ideal outdoor living space. get 3-d photorealistic fly-throughs drag-and-drop textures and landscaping--all with a single interface.use the software to see how your home exterior will integrate with your deck and landscape design. add stone siding or paint color to match your current home or view changes as a remodeling part of your project. when you're ready to landscape your home design just add your plantings to your existing file. the software lets you landscape without redrawing your house plan. your results are rendered in high-resolution 3-d complete with shadows just like a photograph.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. the deck & landscape estimator compiles building material and landscape planting information in a custom spreadsheet report as you draw. the editable and exportable spreadsheet is available right from the program. just add in costs and you'll have an accurate report of your expenses.,punch! software,29.0,punch software 13100 - punch! ultimate deck & landscape - complete product - creativity application - 1 user(s) - complete product - standard - pc
12,suretrak project manager 3.0,communicate with professional-quality reports and graphics. suretrak project manager combines ease of use power and affordability. with suretrak you can create schedules graphically as well as point and click to create relationships between activities. it is ideal for resource planning and control on small- to medium-sized projects.,primavera systems,499.0,1-57408-058-x suretrak project manager - ( v. 3.0 ) - complete package - 1 user - cd - win
13,watchguard mobile user vpn 5 user bundle ( wg3605 ),watchguard technologies wg3605 : usually ships in 24 hours : : watchguard remote user vpn provides your traveling employees and telecommuters with a secure connection to your corporate network.,watchguard technologies inc,290.68,wg3605 watchguard mobile user vpn - complete package - 5 users - cd - win - english - t
14,high availability requires two livesecurity firesboxes,the standby remains inactive unless the primary firebox ceases to respond to a connection on a specified heartbeat channel over a selected firebox interface (eg trusted or external). if no response is received across the network from the primary ...,watchguard technologies inc,1995.0,watchguard wg3900 high availability for firebox ii uk
15,adobe acrobat capture 100 000 page pack,adobe acrobat capture for windows v3.0 100k/pp. replacement 100k page dongle.,adobe,1514.99,adobe 22101251dg glp acrobat capture v3 win cd set
16,noah's ark activity center (jewel case ages 3-8),,victory multimedia,9.95,the beginners bible: noah's ark activity center: activity center
