id_A,id_B,certificate_score,evidence_count,witness_path,region_size,jaccard_score,tfidf_score,sbert_score,value_score,is_match
1507,1507,18.255509,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.08823529411764706,0.18110588679230608,0.5138184021132801,0.2610531943410777,0
1735,1735,18.233298,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.08333333333333333,0.06306343916896062,0.5228721751158175,0.22308964920603716,0
2208,2208,18.221319,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.10810810810810811,0.07194216906451463,0.49159819824219214,0.22388282513827162,0
510,510,18.218446,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.06666666666666667,0.08125466707523467,0.4696275824618604,0.20584963873458725,0
1460,1460,18.21703,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.1282051282051282,0.04197102669089103,0.329885382849254,0.16668717924842444,0
110,110,18.216842,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.13333333333333333,0.10481066346530662,0.6338854308627038,0.2906764758871146,0
1746,1746,18.215319,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.05263157894736842,0.03307325575359687,0.3337881401015065,0.13983099160082393,0
164,278,18.206551,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.13793103448275862,0.029504061887580153,0.36147837066893623,0.17630448901309168,0
1939,1939,18.199052,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.10344827586206896,0.03165094722661792,0.39579589704801255,0.17696504004556646,0
135,1565,18.195086,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.06666666666666667,0.0367491801882501,0.44300544864261016,0.18214043183250897,0
3,3,18.193876,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.045454545454545456,0.03324535327216566,0.20893900806010957,0.0958796355956069,0
105,105,18.192345,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.04878048780487805,0.055021770644488426,0.29666279675505997,0.1334883517348088,0
1863,1863,18.192037,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.0967741935483871,0.008950012185476268,0.40633451709882584,0.1706862409442297,0
842,842,18.191887,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.046511627906976744,0.005234793028288048,0.19833950926034383,0.08336197673186953,0
1096,2187,18.190509,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.05,0.04114154982436529,0.4677741989403805,0.1863052495882486,0
755,755,18.190463,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1,0.12903225806451613,0.06507209879269601,0.3236370733436183,0.17258047673361013,0
