block_id,entity_id,source
integration,0,dblp
integration,101,dblp
integration,135,dblp
integration,269,dblp
integration,294,dblp
integration,390,dblp
integration,411,dblp
integration,475,dblp
integration,515,dblp
integration,548,dblp
integration,552,dblp
integration,581,dblp
integration,783,dblp
integration,851,dblp
integration,888,dblp
integration,890,dblp
integration,946,dblp
integration,1011,dblp
integration,1018,dblp
integration,1037,dblp
integration,1122,dblp
integration,1230,dblp
integration,1237,dblp
integration,1275,dblp
integration,1382,dblp
integration,1385,dblp
integration,1420,dblp
integration,1483,dblp
integration,1637,dblp
integration,1673,dblp
integration,1827,dblp
integration,1836,dblp
integration,1868,dblp
integration,1875,dblp
integration,1897,dblp
integration,1902,dblp
integration,1938,dblp
integration,1971,dblp
integration,2219,dblp
integration,2288,dblp
integration,2326,dblp
integration,2433,dblp
integration,2546,dblp
integration,2570,dblp
integration,22,acm
integration,73,acm
integration,117,acm
integration,127,acm
integration,197,acm
integration,219,acm
integration,264,acm
integration,267,acm
integration,367,acm
integration,642,acm
integration,667,acm
integration,670,acm
integration,671,acm
integration,713,acm
integration,790,acm
integration,865,acm
integration,886,acm
integration,911,acm
integration,1075,acm
integration,1295,acm
integration,1367,acm
integration,1393,acm
integration,1415,acm
integration,1521,acm
integration,1538,acm
integration,1807,acm
integration,1823,acm
integration,1846,acm
integration,1994,acm
integration,2006,acm
integration,2036,acm
integration,2151,acm
integration,2227,acm
integration,2231,acm
integration,2238,acm
integration,2239,acm
integration,2254,acm
integration,2272,acm
title_prefix3:semantic::integration::environmental,0,dblp
title_prefix3:semantic::integration::environmental,117,acm
semantic,0,dblp
semantic,102,dblp
semantic,120,dblp
semantic,135,dblp
semantic,163,dblp
semantic,223,dblp
semantic,259,dblp
semantic,266,dblp
semantic,342,dblp
semantic,411,dblp
semantic,536,dblp
semantic,585,dblp
semantic,588,dblp
semantic,623,dblp
semantic,670,dblp
semantic,691,dblp
semantic,703,dblp
semantic,748,dblp
semantic,779,dblp
semantic,834,dblp
