id_A,id_B,certificate_score,evidence_count,witness_path,region_size
1507,1507,18.255509,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
1735,1735,18.233298,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
2208,2208,18.221319,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
510,510,18.218446,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
1460,1460,18.21703,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
110,110,18.216842,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
1746,1746,18.215319,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
164,278,18.206551,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
1939,1939,18.199052,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
135,1565,18.195086,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
3,3,18.193876,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
105,105,18.192345,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
1863,1863,18.192037,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
842,842,18.191887,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
1096,2187,18.190509,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
755,755,18.190463,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
1295,1295,18.189541,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
1080,1080,18.185414,14,strong_rescue::anchor_bigram|block_id|categorical_model|categorical_value|digit_signature|field_presence|long_pair|model_code|prefix_pair|rare_pair|rare_token|rare_triple|title_prefix3|token_skeleton,1
