id1,id2
0,117
1,601
1,1100
1,1458
1,1250
1,1093
2,190
2,646
3,1125
4,1450
4,700
4,2246
5,1897
5,108
5,780
5,49
5,1074
5,1395
6,1489
6,746
6,1844
6,1998
7,1179
7,894
7,1871
7,958
7,32
7,2036
8,1759
9,1682
9,1885
10,633
10,333
10,1309
10,823
10,2289
10,1399
11,2010
11,2011
11,2268
11,2001
11,2117
12,1213
12,372
12,373
12,374
12,375
13,776
13,1019
13,1227
13,1223
14,2106
14,851
15,1880
15,1132
15,774
16,352
17,1034
17,1387
17,1808
17,822
17,760
17,1946
17,1659
17,890
17,2269
17,804
18,1164
18,782
18,1855
18,304
18,1011
19,497
19,1409
19,2119
20,1848
20,1913
20,742
21,1373
21,2047
22,1992
22,1769
22,2027
22,1685
22,1307
22,636
22,189
22,990
22,1665
22,1862
23,217
23,1149
24,1442
24,1100
24,1490
24,1458
24,1622
24,1878
24,159
24,1986
24,1315
25,104
25,1097
25,806
26,1431
26,468
26,1231
27,1418
28,1176
28,346
28,2077
28,1024
28,1634
28,1123
28,1637
29,2280
29,308
29,2245
29,2230
29,118
30,1321
30,1005
30,399
30,943
30,18
30,150
30,1048
30,1755
30,417
31,1066
31,12
31,1328
31,1434
31,1370
31,859
31,862
31,254
32,1480
32,1304
32,944
32,2293
33,536
33,108
33,1836
33,1197
33,2175
33,289
33,1426
34,1848
34,1913
34,1147
34,1020
34,1507
34,22
35,1040
36,780
36,2076
36,706
36,49
36,1074
37,1199
37,775
38,106
38,2090
38,1102
38,818
38,1716
38,1150
38,1089
38,964
39,914
40,1848
40,1797
40,1558
41,1017
41,2146
41,2283
42,845
43,672
44,406
45,1336
45,2188
45,860
45,2254
45,413
45,721
46,592
46,755
46,1340
47,34
47,1133
48,1232
48,2017
48,360
49,1384
49,2026
49,1391
49,22
49,1848
49,1913
49,2169
49,2267
49,1884
49,1147
49,742
49,1351
50,1713
51,2200
51,540
51,2226
51,2051
51,2198
52,1680
52,759
53,416
53,2097
53,1433
54,356
55,2121
55,2217
55,609
55,1694
55,2161
55,1906
55,2181
56,624
56,1006
56,263
57,93
57,899
57,562
57,1746
57,229
58,586
58,1038
58,881
58,147
58,820
58,1112
58,1884
58,1981
58,677
58,1026
58,419
58,1765
59,2187
59,916
60,832
60,2146
61,728
61,1050
61,1119
61,2068
61,197
61,1799
62,1240
62,2100
62,1333
63,809
63,205
63,1718
63,1271
63,184
63,601
63,220
63,1021
63,676
64,1256
65,1497
65,1357
65,326
65,39
66,1892
66,1997
66,1895
67,1339
68,1902
68,1998
68,2048
68,1489
68,2
69,1163
69,1661
69,1122
69,1157
69,582
69,1479
70,1864
70,1929
70,427
70,1356
70,1452
70,1839
70,1073
70,1051
70,963
71,811
71,557
71,381
71,1327
71,1926
72,1554
72,835
72,423
72,1087
73,2076
73,311
74,1497
74,2234
74,567
75,2016
75,1377
75,719
76,1769
76,1209
76,636
76,1853
76,1999
76,2247
77,216
77,1651
77,1940
77,463
78,1512
78,329
78,1384
78,1169
78,1206
78,1402
78,1827
78,1150
78,1600
78,1667
79,1943
79,1990
79,1511
80,1461
81,170
81,428
81,720
81,2097
81,1173
82,1041
82,810
83,1454
84,1627
85,1896
85,1539
85,1532
85,245
86,499
87,1353
87,693
87,1047
87,2105
87,26
87,1693
87,2109
87,866
87,455
88,1697
88,652
89,1198
89,1379
89,324
89,2037
89,310
89,1238
90,2262
91,1328
91,1434
91,254
92,545
92,1550
92,1375
93,1712
93,163
93,973
93,1959
94,1609
94,1676
94,578
94,121
94,346
94,1986
94,576
94,1570
94,580
94,2277
95,542
96,2223
97,2136
97,378
97,1023
97,591
97,1410
97,1907
97,309
98,103
98,1908
98,1607
99,1209
99,2247
100,1208
100,1058
100,2263
101,1586
101,728
101,1050
101,698
101,1510
101,1922
101,197
101,422
102,2163
103,950
104,2201
104,2174
105,324
105,2037
105,310
106,304
106,785
106,459
106,1374
107,1931
107,799
107,1280
107,1971
107,1334
107,707
108,1187
108,2252
109,1048
109,63
109,399
109,1697
109,18
109,150
110,1257
110,681
110,336
110,1722
110,1723
110,992
110,194
110,1315
110,2052
110,1573
111,1931
111,879
111,1971
111,470
111,822
111,1819
111,2107
111,894
111,799
111,1280
111,577
111,707
111,772
111,2022
112,1617
112,100
112,1965
112,1735
113,1769
113,507
113,636
114,505
114,1068
114,686
114,1920
114,1698
114,1938
115,2168
115,91
115,525
115,1056
115,643
115,1750
116,1162
116,902
117,904
117,2124
117,2125
117,80
117,2129
117,596
117,2133
117,598
117,599
117,2202
117,668
117,669
117,744
117,745
117,619
117,512
117,513
118,1244
119,1120
119,1478
120,1297
120,1259
121,1693
121,1261
121,1687
122,173
122,464
122,1008
122,852
122,182
122,377
122,954
122,956
122,1954
122,613
123,1992
123,255
124,1064
124,1981
124,997
124,375
125,272
125,1744
125,397
125,160
126,80
126,192
126,596
126,1319
127,2186
127,1612
127,1133
127,172
127,1235
127,471
127,1437
127,1725
127,1472
127,34
127,102
128,1099
129,1662
130,2064
130,2128
130,530
130,595
130,756
130,663
130,763
130,516
131,649
131,650
131,334
131,527
131,526
131,547
131,564
131,924
131,927
131,546
131,226
131,551
132,1660
133,1899
133,365
133,1069
133,174
133,176
133,178
133,179
133,1686
133,507
133,388
134,699
134,2045
134,1934
135,1673
135,1867
135,140
135,1521
135,2227
135,1846
135,281
135,865
136,2192
136,1905
136,2258
136,1314
136,550
137,1831
138,660
138,111
139,1491
140,954
140,973
140,1725
140,1455
140,741
141,2201
141,1635
141,2174
142,1866
142,189
142,1862
142,990
143,1512
143,301
143,16
143,291
143,112
144,1961
145,2196
145,676
145,685
145,1764
145,1295
145,820
145,84
146,1771
146,2207
146,1108
146,1812
146,215
146,2138
146,1471
146,1789
146,1951
146,1088
146,258
146,1443
146,1828
146,1190
147,1422
147,463
147,1696
147,1651
147,1940
148,1626
148,1470
149,678
150,252
150,646
150,1804
151,1960
151,440
151,701
151,1440
151,66
152,398
153,2211
153,812
153,443
154,1356
154,1446
154,1167
154,210
154,1155
154,374
155,659
155,1303
156,584
156,1601
156,238
156,1873
156,1763
156,913
157,1822
158,585
158,1837
158,850
158,1044
158,1751
159,529
159,1506
159,1771
159,2033
160,322
161,733
162,1512
162,329
162,1384
162,1169
162,1206
162,1402
162,1827
162,1150
162,1600
162,1667
163,264
163,1641
163,1228
163,1236
163,2140
163,988
163,385
163,1219
163,7
164,1129
164,249
164,1467
164,1854
164,1888
164,1889
164,1858
165,1593
165,341
166,209
167,1670
168,847
168,642
168,279
168,1047
168,1821
168,991
168,2018
168,1762
168,1827
168,1642
168,365
168,1586
168,435
168,1269
168,66
168,194
169,1832
169,1182
169,1647
169,1473
169,1987
170,983
171,1177
171,1130
171,1914
171,1837
171,79
171,1599
171,849
172,553
172,588
172,1168
172,2145
172,1731
172,583
173,1892
173,1997
173,1895
174,965
175,200
175,1234
175,680
175,256
176,2240
176,1529
176,250
176,1646
177,8
177,1396
177,869
177,438
178,744
178,904
178,653
178,2125
178,561
178,598
178,2071
178,2202
178,669
178,606
178,513
178,549
179,162
179,1053
179,407
180,1786
180,1668
180,174
180,1495
181,1608
181,521
181,2283
181,1613
181,1615
181,469
181,86
181,1284
182,1580
182,1853
182,638
182,1249
182,1511
182,887
183,1609
183,458
183,1676
183,589
183,578
183,1168
183,567
183,346
183,2234
183,576
183,1570
183,580
183,2277
183,518
184,520
184,2254
184,1327
184,1137
184,661
184,566
184,1911
184,1850
184,2245
185,1434
185,1115
185,254
185,1328
185,0
185,1766
186,1544
186,1612
186,1728
186,34
186,2181
186,102
187,234
187,1677
187,2222
187,1393
187,1845
187,2238
187,30
187,739
188,514
188,749
189,1195
189,165
189,1494
190,1743
191,183
192,1265
192,1643
192,262
192,1302
193,536
193,108
193,1836
193,1197
193,2175
193,1426
194,72
194,1274
194,1995
194,307
194,1839
194,1825
194,339
195,888
195,1499
196,712
196,714
196,268
196,2222
196,2001
196,84
196,214
196,540
196,802
197,181
197,1493
198,973
198,1519
198,2225
198,370
198,1597
198,1407
198,1986
198,419
198,1220
199,2107
199,1901
199,543
199,879
199,623
200,1348
200,2196
201,1497
201,2234
201,567
202,2058
202,1838
203,418
203,586
203,108
204,1310
204,167
205,276
205,694
205,1863
206,400
206,246
206,1565
206,1648
207,1054
208,1690
208,1018
209,2184
209,2290
209,917
209,2101
209,1239
209,1272
209,533
209,1178
209,342
209,343
209,1216
209,1189
210,465
210,2154
211,1297
212,1310
213,2232
213,860
213,1860
214,1497
214,2234
214,567
215,1777
215,303
215,535
216,169
216,1820
216,885
216,286
217,2144
217,1684
217,2135
218,1036
219,1497
219,2234
219,567
221,2152
221,938
221,1296
221,243
221,85
221,1750
221,21
221,248
221,2267
221,928
221,805
222,634
222,2258
222,1740
222,550
223,2110
224,2289
224,633
225,1034
225,2027
