id1,id2
1607,1607
29,2280
39,914
0,117
574,514
2191,1566
1813,2066
459,1459
2222,2282
537,1349
521,2139
1510,1002
121,1687
1505,2198
672,114
588,1729
902,610
952,752
83,1454
2139,2220
20,742
858,1139
780,1811
2541,119
654,2292
210,2154
990,1644
355,2120
46,592
161,733
1936,1386
541,607
895,195
51,2200
2176,490
1475,1416
1289,2212
1979,903
1565,135
2489,753
2132,1128
2030,2208
1622,2242
1373,1294
1,1093
309,1369
1100,2153
59,2187
751,236
1724,1763
1244,10
2293,1927
1436,224
23,1149
1906,1395
16,352
54,356
2304,123
244,679
2056,2209
167,1670
1647,1621
1187,811
1122,2151
1831,2279
915,482
1062,2122
843,850
1075,125
149,678
2000,1117
832,1412
491,193
1963,2123
2223,203
2533,124
115,91
280,2140
2534,1246
1268,863
239,813
1550,2185
99,2247
881,467
430,1113
1529,1656
1227,1346
934,334
2248,2126
1750,1757
2551,1436
1253,696
188,749
1265,1603
591,120
1171,1344
965,1861
328,955
1960,1582
675,12
1184,25
2520,328
1250,554
947,2236
21,1373
760,836
2577,930
642,452
80,1461
171,1130
1945,611
894,474
2245,210
1168,1990
2485,9
1575,1314
1512,1282
1995,2137
372,93
122,464
468,2038
2022,26
622,15
8,1759
1012,2167
1549,1747
3,1125
2268,441
1859,807
2052,994
2184,486
1121,473
648,414
1429,250
1596,230
2479,1285
706,345
330,456
401,2000
1950,1041
49,1913
1368,803
587,144
1072,945
1644,459
1774,891
1398,1996
776,2076
2402,2240
129,1662
1594,880
1781,784
1760,856
1576,87
136,550
884,1358
2128,2016
1278,688
1811,481
557,78
2604,1334
1231,330
2462,879
1633,505
57,899
2079,666
2271,776
261,1931
930,770
1390,783
2078,86
850,560
2171,825
1738,1318
1830,771
1957,2189
465,1003
2002,800
1643,1388
1715,959
1608,247
2167,1585
951,1300
1370,2003
2549,2256
2288,1393
1704,99
1641,1120
1849,2017
1547,457
361,980
2265,2224
2100,2213
1133,1748
633,647
1189,1969
1696,380
1006,727
1433,878
794,68
1572,1362
32,944
1420,670
1284,70
1839,1009
218,1036
2483,1553
104,2174
1357,1950
445,239
1733,493
194,1995
1128,134
2119,1032
1886,1986
1923,1733
78,1667
2226,875
1460,75
1350,2257
1693,217
456,941
605,893
1681,531
1537,492
1487,815
694,1077
176,1646
1986,501
923,821
1861,1421
1115,1425
2472,1109
546,1874
2197,1315
857,1290
2186,828
755,1572
2372,993
398,1396
2330,1056
73,311
195,888
231,1397
504,871
2063,1944
1868,2238
1032,968
62,1240
1318,1929
205,276
2499,814
433,565
132,1660
509,403
748,618
1754,2080
558,1879
431,1181
2298,1963
1139,229
1275,671
994,817
1698,6
417,887
1773,641
1484,872
2322,1892
696,1875
1296,609
2382,1078
1039,568
1874,201
1758,707
269,219
1935,498
1050,1320
154,1446
996,1552
1939,449
236,1714
770,1691
337,732
1855,296
554,153
19,1409
836,933
30,18
1409,443
1721,2023
1232,1352
2575,97
396,1377
1378,101
1364,1338
783,2239
898,495
2397,1025
725,2141
1482,1405
2574,1896
844,775
5,49
603,2072
77,1651
1200,115
391,1100
296,1355
415,1468
1010,1890
226,1012
1745,1754
1728,999
1315,244
660,2249
1765,1783
331,1701
267,384
1408,2217
1485,737
299,335
1867,1610
15,1132
1683,1341
1067,673
1348,186
150,252
1453,299
835,1612
380,1070
746,243
373,1447
1827,713
900,1131
764,237
993,1010
1978,479
414,1567
799,53
1833,981
2247,1608
1306,2216
2013,986
911,1709
1025,1288
1084,2033
888,2006
1711,80
2020,1379
252,971
1573,350
216,885
849,717
1179,1562
1679,151
503,1339
2482,387
1473,1291
1020,323
428,285
569,130
473,23
700,132
2085,816
786,720
1125,1948
2172,1598
2448,28
2354,704
1993,1462
817,196
1104,1561
374,383
2475,1245
298,953
293,2127
2099,910
890,865
2141,861
607,13
260,2020
840,1766
1994,1481
873,883
436,951
1308,1301
164,1467
1657,1005
2311,1143
2032,1451
1439,791
2379,1037
2563,2056
793,1061
1199,359
1029,970
315,1411
1806,1372
2126,846
2308,889
874,1654
2444,969
381,281
2202,1324
101,197
1166,1591
326,294
1571,90
2025,1242
1136,1148
1103,382
1114,756
395,2165
63,809
1298,1086
2590,1059
1819,1834
1970,1080
2038,895
767,271
91,1328
1406,1824
1021,1534
169,1987
9,1885
1309,2263
1794,2013
2091,1772
485,109
443,1993
1235,126
1852,1441
2585,1903
1520,1530
1971,886
1804,2162
2490,1033
815,1145
1376,1901
2523,1376
735,1403
719,684
2136,361
619,154
664,1094
1685,2269
1256,1357
610,1595
2185,1101
871,2081
1038,1859
2593,960
1013,76
1064,315
615,1417
1360,1053
787,508
432,1782
444,1854
1162,937
1620,1105
1036,1711
579,331
1016,1663
1098,689
995,1445
1252,1857
999,1312
47,1133
1477,984
1653,834
2406,1083
1513,1891
1980,1749
2388,1514
302,820
1445,141
618,1298
1070,1039
567,1456
4,1450
1539,2193
2301,2096
1263,1112
1522,2065
1817,754
2160,1579
710,94
2536,337
2008,1236
1327,540
1146,5
2033,1090
207,1054
635,1902
406,718
772,962
1616,1907
758,137
2199,833
2190,868
1209,822
975,1625
804,1648
2591,765
1087,166
766,1135
2201,957
2286,1359
1130,1241
1525,1810
1167,325
2373,1389
1842,1293
1593,2021
564,897
1684,1381
1220,1801
2476,823
34,1147
1285,1473
2001,786
1748,1430
2087,491
1228,1353
2207,779
527,51
852,841
667,2152
1203,2158
1922,2172
2215,701
1509,774
2303,59
1197,1081
2276,2051
1030,1800
892,1122
2333,2007
556,711
1885,1185
2364,307
1215,215
2210,1440
1650,1079
1538,873
1011,790
2213,1835
616,1348
573,1330
943,358
624,920
2206,723
701,789
745,1796
1045,131
1524,1686
1415,2255
828,655
254,529
1450,1577
506,1378
69,1479
1186,2223
334,1333
1326,2230
1896,222
715,455
896,837
1999,83
728,44
501,1571
424,1813
684,2070
1997,1066
1691,324
829,1001
94,1609
812,318
2017,19
1912,415
1851,1734
13,1223
2019,1773
2493,787
1302,2194
1154,430
736,1327
2393,1690
2115,190
1024,1698
750,411
107,799
344,916
2517,1674
257,2034
1514,1837
839,998
103,950
2236,2060
487,801
973,4
2183,2243
724,1400
319,824
1942,1683
2233,1304
1299,2057
119,1478
2158,1518
345,1556
962,574
2220,1794
470,991
2181,231
2003,804
1108,1881
1347,952
263,847
729,1021
423,357
102,2163
2596,1681
1584,2195
1085,892
2219,1807
