id1,id2
0,117
1,601
1,1100
1,1458
1,1250
1,1093
63,601
729,601
1511,601
1670,601
1834,601
1949,601
2009,601
2150,601
2369,601
24,1100
391,1100
838,1100
991,1100
1247,1100
1293,1100
1604,1100
1689,1100
1859,1100
2320,1100
24,1458
391,1458
838,1458
991,1458
1247,1458
1604,1458
1689,1458
1859,1458
2320,1458
391,1250
737,1250
991,1250
1247,1250
1604,1250
1859,1250
2320,1250
2367,1250
391,1093
1247,1093
1834,1093
2320,1093
2,190
2,646
2115,190
150,646
264,646
903,646
959,646
1079,646
1638,646
1737,646
2362,646
3,1125
4,1450
4,700
4,2246
370,1450
1096,1450
370,700
649,700
237,2246
845,2246
1013,2246
1041,2246
1096,2246
1509,2246
1788,2246
1816,2246
2280,2246
5,1897
5,108
5,780
5,49
5,1074
5,1395
759,1897
965,1897
33,108
193,108
203,108
328,108
467,108
661,108
1117,108
1257,108
1906,108
2267,108
2281,108
36,780
1026,780
1117,780
1138,780
1583,780
1610,780
1790,780
36,49
1117,49
1138,49
1610,49
1906,49
2267,49
36,1074
368,1074
1117,1074
1138,1074
1610,1074
1906,1074
2267,1074
1117,1395
1906,1395
2267,1395
6,1489
6,746
6,1844
6,1998
68,1489
440,1489
953,1489
1253,1489
1712,1489
1990,1489
2579,1489
440,746
953,746
1990,746
2579,746
440,1844
953,1844
1253,1844
1990,1844
2579,1844
68,1998
440,1998
635,1998
953,1998
956,1998
1253,1998
1304,1998
1990,1998
2461,1998
2579,1998
7,1179
7,894
7,1871
7,958
7,32
7,2036
325,1179
711,1179
1646,1179
1824,1179
2326,1179
111,894
305,894
497,894
1209,894
1646,894
1824,894
2114,894
2462,894
325,1871
711,1871
764,1871
1619,1871
2515,1871
325,958
620,958
711,958
2326,958
1646,32
1824,32
1857,32
325,2036
417,2036
985,2036
1448,2036
2326,2036
8,1759
9,1682
9,1885
2396,1682
2396,1885
2559,1885
10,633
10,333
10,1309
10,823
10,2289
10,1399
224,633
515,333
579,333
731,333
994,333
1123,333
1152,333
1252,333
1725,333
2042,333
2415,333
2476,333
1725,1309
2042,1309
2415,1309
2476,1309
235,823
656,823
906,823
1517,823
1592,823
1792,823
2042,823
2415,823
2476,823
224,2289
1389,2289
2042,2289
2058,2289
2415,2289
2476,2289
648,1399
1170,1399
1389,1399
1704,1399
2058,1399
2252,1399
11,2010
11,2011
11,2268
11,2001
11,2117
991,2010
1330,2010
1578,2010
1686,2010
1823,2010
1996,2010
2047,2010
2384,2010
947,2011
991,2011
1330,2011
1599,2011
1996,2011
2047,2011
2384,2011
364,2268
1153,2268
1686,2268
1996,2268
196,2001
379,2001
551,2001
593,2001
626,2001
628,2001
991,2001
1207,2001
1294,2001
1330,2001
1353,2001
1578,2001
1823,2001
1996,2001
2047,2001
2098,2001
2384,2001
365,2117
592,2117
991,2117
1316,2117
1330,2117
1578,2117
1823,2117
1996,2117
2047,2117
2384,2117
12,1213
12,372
12,373
12,374
12,375
1366,1213
2178,1213
2421,1213
459,372
950,372
1365,372
1366,372
1832,372
2012,372
2178,372
2315,372
2421,372
1103,373
1196,373
1752,373
2178,373
2315,373
2421,373
154,374
459,374
1092,374
1366,374
1598,374
1942,374
2109,374
2178,374
124,375
589,375
1055,375
1312,375
1619,375
1823,375
1853,375
2012,375
2178,375
2351,375
13,776
13,1019
13,1227
13,1223
2271,776
1051,1019
1218,1019
1051,1227
1218,1227
2271,1223
14,2106
14,851
636,2106
2216,2106
235,851
513,851
896,851
1063,851
1564,851
1958,851
2065,851
2076,851
2155,851
2216,851
15,1880
15,1132
15,774
778,1880
1161,1880
1185,1880
1029,1132
1185,1132
1509,1132
237,774
1096,774
1509,774
1816,774
16,352
867,352
17,1034
17,1387
17,1808
17,822
17,760
17,1946
17,1659
17,890
17,2269
17,804
225,1034
1826,1034
2501,1034
256,1387
773,1387
835,1387
919,1387
950,1387
2087,1387
2342,1387
2460,1387
2484,1387
2562,1387
225,1808
1209,1808
1297,1808
1438,1808
1685,1808
1826,1808
2003,1808
2342,1808
111,822
225,822
305,822
497,822
1209,822
1438,822
1646,822
1685,822
2114,822
2462,822
225,760
1209,760
1224,760
1297,760
1321,760
1438,760
1685,760
1826,760
2003,760
2127,760
2514,760
225,1946
1297,1946
1386,1946
2149,1946
225,1659
439,1659
1209,1659
1438,1659
1685,1659
1190,890
1894,890
2342,890
2381,890
225,2269
273,2269
1209,2269
1438,2269
1491,2269
1685,2269
1998,2269
2468,2269
225,804
1269,804
1751,804
2003,804
18,1164
18,782
18,1855
18,304
18,1011
228,1164
1664,1164
1766,1164
1892,1164
1953,1164
2196,1164
1664,782
1892,782
687,1855
1664,1855
1892,1855
106,304
346,304
701,304
848,304
1501,304
1644,304
1664,304
1670,304
1892,304
2532,304
665,1011
1766,1011
19,497
19,1409
19,2119
256,497
744,497
919,497
1243,497
2342,497
2562,497
1243,1409
2562,1409
1243,2119
2562,2119
20,1848
20,1913
20,742
34,1848
40,1848
49,1848
1237,1848
2108,1848
2355,1848
2361,1848
2578,1848
34,1913
49,1913
336,1913
1134,1913
1237,1913
2108,1913
2336,1913
2355,1913
2361,1913
2413,1913
2578,1913
49,742
21,1373
21,2047
1517,1373
656,2047
867,2047
1133,2047
1517,2047
2476,2047
22,1992
22,1769
22,2027
22,1685
22,1307
22,636
22,189
22,990
22,1665
22,1862
123,1992
561,1992
976,1992
1126,1992
1189,1992
1321,1992
1541,1992
2435,1992
76,1769
113,1769
362,1769
658,1769
886,1769
1321,1769
1386,1769
1487,1769
1810,1769
2435,1769
2547,1769
225,2027
561,2027
658,2027
1321,2027
2127,2027
2435,2027
2547,2027
403,1685
795,1685
1321,1685
1331,1685
1524,1685
1321,1307
1825,1307
76,636
113,636
658,636
1321,636
1386,636
1487,636
2435,636
2547,636
142,189
688,189
1933,189
2502,189
142,990
403,990
513,990
627,990
688,990
880,990
1236,990
1466,990
1933,990
2061,990
2193,990
2255,990
561,1665
658,1665
766,1665
861,1665
1321,1665
2435,1665
2536,1665
2547,1665
2558,1665
2573,1665
2575,1665
142,1862
561,1862
658,1862
688,1862
1321,1862
1933,1862
2435,1862
2547,1862
23,217
23,1149
1693,217
1693,1149
24,1442
24,1490
24,1622
24,1878
24,159
24,1986
24,1315
320,1442
838,1442
1689,1442
320,1490
391,1490
592,1490
838,1490
1247,1490
1689,1490
320,1622
391,1622
592,1622
838,1622
1247,1622
1689,1622
592,1878
838,1878
987,1878
1330,1878
1689,1878
320,159
391,159
592,159
838,159
1247,159
1689,159
1886,159
2197,159
94,1986
198,1986
563,1986
1886,1986
2273,1986
110,1315
1540,1315
1559,1315
2039,1315
2197,1315
2321,1315
25,104
25,1097
25,806
939,104
1089,104
1211,104
1395,104
1576,104
1631,104
2416,104
939,1097
1089,1097
1211,1097
1395,1097
1576,1097
1631,1097
2416,1097
1089,806
1631,806
26,1431
26,468
26,1231
1974,1431
1974,468
1163,1231
1351,1231
1873,1231
1913,1231
1974,1231
2173,1231
2395,1231
27,1418
28,1176
28,346
28,2077
28,1024
28,1634
28,1123
28,1637
333,1176
992,1176
1201,1176
1787,1176
1795,1176
2302,1176
2528,1176
94,346
183,346
229,346
404,346
769,346
1795,346
1900,346
2074,346
2302,346
2528,346
2595,346
308,2077
333,2077
1201,2077
1657,2077
1745,2077
1787,2077
566,1024
1795,1024
2138,1024
2302,1024
2598,1024
333,1634
1201,1634
1787,1634
333,1123
1201,1123
1787,1123
438,1637
542,1637
563,1637
992,1637
1034,1637
1523,1637
1531,1637
2495,1637
29,2280
29,308
29,2245
29,2230
29,118
1326,2280
1744,2280
2430,2280
699,308
1415,308
1728,308
1744,308
1835,308
1926,308
2223,308
2398,308
2430,308
184,2245
303,2245
736,2245
897,2245
1165,2245
1415,2245
1744,2245
1875,2245
1970,2245
2430,2245
1326,2230
2482,2230
266,118
1075,118
1235,118
1415,118
1744,118
1970,118
2430,118
2536,118
2573,118
30,1321
30,1005
30,399
30,943
30,18
30,150
30,1048
30,1755
30,417
1027,1321
1481,1321
1663,1321
1919,1321
2059,1321
2242,1321
2296,1321
2389,1321
333,1005
1027,1005
1481,1005
1657,1005
1663,1005
1919,1005
2059,1005
2389,1005
109,399
423,399
1027,399
1176,399
1399,399
1481,399
1527,399
1657,399
1663,399
1678,399
1919,399
1930,399
2059,399
2389,399
1280,943
1481,943
1919,943
1930,943
109,18
1027,18
1176,18
1280,18
1399,18
1481,18
1657,18
1663,18
1919,18
1930,18
2059,18
2389,18
109,150
289,150
1027,150
1481,150
1919,150
2059,150
2344,150
109,1048
296,1048
1027,1048
1176,1048
1280,1048
1399,1048
1481,1048
1657,1048
1663,1048
1919,1048
1930,1048
2059,1048
2389,1048
1162,1755
1280,1755
1481,1755
1930,1755
286,417
633,417
645,417
1027,417
1481,417
1663,417
1919,417
2059,417
2102,417
